Amount Earned,Completed Jobs ,USD/Hour,On Time,On Budget,Repeat Hire Rate,Accept Rate,Country,Overall Rating,Reviews Count,Education,Work Experience,Number of Certificates,User_ID_Hashed
10.0,99,95,97,100.0,20.0,94.0,Croatia,5.0,223.0,1.0,2.0,5,d400a2bc8dc25f196dc89d00b553a625818b895fc0e51a072843e78acbf6d819
7.3,100,40,100,97.0,6.0,45.0,Ireland,5.0,50.0,0.0,0.0,1,cc74378603afbc5938352b4bda16ca10bdfc4eb7b4c8e8cc596f1acd55f631e4
8.4,96,50,85,99.0,13.0,95.0,India,4.9,94.0,1.0,3.0,3,5735cf6088e7c60bf2b97d5305d787687c21c258d1ce244b28e92b98e73f8f37
9.5,98,50,91,90.0,15.0,90.0,Pakistan,4.9,878.0,1.0,1.0,2,6a1e4931b3915ddfe807d687e4feaf8871cd83ac3e52a1d30f93ed3a9818046f
8.0,100,25,89,93.0,14.0,90.0,India,5.0,31.0,1.0,0.0,2,290c4b1ddb32ce3bd13c8d4851917849eda1b31372ccb942755f6f0e90a53bfe
7.9,99,20,93,96.0,10.0,83.0,Pakistan,4.9,375.0,1.0,2.0,2,571dafdb7fa0e97b4b8c13c5c47fd3b297f50171f40977083fc45bdde5fd37ef
8.6,97,40,91,96.0,7.0,80.0,Pakistan,4.9,490.0,1.0,1.0,2,12b2c7471efa9423432b0118352e62e183c1488e080c71191935b0d198501ff2
9.8,99,11,98,98.0,19.0,91.0,India,4.9,1274.0,1.0,1.0,14,f361406373d03693024e056ccbc015ba38ca4b03ad16a42ba64805bf9b200007
7.9,99,15,100,100.0,14.0,88.0,India,5.0,70.0,1.0,3.0,2,08f906567b08f3c9156d964017125ef4ce3fa466d0ff343b79f72b7563c3e3d5
8.4,99,15,93,98.0,15.0,93.0,India,4.9,79.0,1.0,2.0,1,20272928acc71ddab526b67bb52fea538badf3f279aebc5626e5d755f80c1061
6.9,100,40,100,100.0,11.0,90.0,Georgia,5.0,18.0,1.0,2.0,2,906fac7c87c096f81a163481b5f56920f4279ffe4ee34439ab2432006b20e7f8
9.8,96,20,83,89.0,17.0,88.0,India,4.7,799.0,1.0,1.0,4,135052138114814d4fb893169d79ce8cf366faec0666665555dea6504fac4193
7.6,100,100,100,95.0,16.0,96.0,Turkey,5.0,49.0,1.0,0.0,4,3a5d47b72196037f1be74c4e3bc9abc94418e3aa262568d7b2472097d046018d
7.8,95,15,96,96.0,12.0,90.0,India,4.9,51.0,1.0,3.0,4,b99e33dde77b43cb262f8f8c0a49596599cfb24bb5fa5188d0f1d1cbab4a47e7
